sample_id	mRNA_srrs	sgRNA_srrs
35	SRR28707635;SRR28707637;SRR28707640;SRR28707642;SRR28707644;SRR28707646;SRR28707648;SRR28707651;SRR28707653;SRR28707757;SRR28707759;SRR28707761;SRR28707765;SRR28707767;SRR28707769;SRR28707771	SRR28707634;SRR28707636;SRR28707639;SRR28707641;SRR28707643;SRR28707645;SRR28707647;SRR28707650;SRR28707652;SRR28707756;SRR28707758;SRR28707760;SRR28707764;SRR28707766;SRR28707768;SRR28707770
36	SRR28707369;SRR28707371;SRR28707373;SRR28707375;SRR28707377;SRR28707380;SRR28707382;SRR28707384;SRR28707386;SRR28707388;SRR28707391;SRR28707631;SRR28707633;SRR28707750;SRR28707752;SRR28707754	SRR28707368;SRR28707370;SRR28707372;SRR28707374;SRR28707376;SRR28707379;SRR28707381;SRR28707383;SRR28707385;SRR28707387;SRR28707390;SRR28707630;SRR28707632;SRR28707749;SRR28707751;SRR28707753
37	SRR28707613;SRR28707615;SRR28707617;SRR28707619;SRR28707622;SRR28707624;SRR28707626;SRR28707628;SRR28707732;SRR28707735;SRR28707737;SRR28707739;SRR28707741;SRR28707743;SRR28707746;SRR28707748	SRR28707612;SRR28707614;SRR28707616;SRR28707618;SRR28707621;SRR28707623;SRR28707625;SRR28707627;SRR28707629;SRR28707734;SRR28707736;SRR28707738;SRR28707740;SRR28707742;SRR28707745;SRR28707747
38	SRR28707345;SRR28707347;SRR28707350;SRR28707352;SRR28707354;SRR28707356;SRR28707358;SRR28707362;SRR28707364;SRR28707366;SRR28707606;SRR28707608;SRR28707611;SRR28707943;SRR28707945;SRR28707947	SRR28707344;SRR28707346;SRR28707349;SRR28707351;SRR28707353;SRR28707355;SRR28707357;SRR28707361;SRR28707363;SRR28707365;SRR28707367;SRR28707607;SRR28707610;SRR28707942;SRR28707944;SRR28707946
39	SRR28707715;SRR28707718;SRR28707720;SRR28707722;SRR28707724;SRR28707726;SRR28707729;SRR28707731;SRR28707925;SRR28707927;SRR28707929;SRR28707932;SRR28707934;SRR28707936;SRR28707938;SRR28707940	SRR28707714;SRR28707717;SRR28707719;SRR28707721;SRR28707723;SRR28707725;SRR28707728;SRR28707730;SRR28707924;SRR28707926;SRR28707928;SRR28707931;SRR28707933;SRR28707935;SRR28707937;SRR28707939
40	SRR28707340;SRR28707342;SRR28707583;SRR28707585;SRR28707587;SRR28707589;SRR28707591;SRR28707594;SRR28707596;SRR28707598;SRR28707600;SRR28707602;SRR28707605;SRR28707709;SRR28707711;SRR28707713	SRR28707339;SRR28707341;SRR28707582;SRR28707584;SRR28707586;SRR28707588;SRR28707590;SRR28707593;SRR28707595;SRR28707597;SRR28707599;SRR28707601;SRR28707604;SRR28707708;SRR28707710;SRR28707712
41	SRR28707323;SRR28707325;SRR28707327;SRR28707329;SRR28707331;SRR28707334;SRR28707336;SRR28707338;SRR28707696;SRR28707699;SRR28707701;SRR28707703;SRR28707705;SRR28707707;SRR28708078;SRR28708080	SRR28707322;SRR28707324;SRR28707326;SRR28707328;SRR28707330;SRR28707333;SRR28707335;SRR28707337;SRR28707695;SRR28707698;SRR28707700;SRR28707702;SRR28707704;SRR28707706;SRR28708077;SRR28708079
42	SRR28707317;SRR28707319;SRR28707559;SRR28707561;SRR28707564;SRR28707566;SRR28707568;SRR28707570;SRR28707572;SRR28707575;SRR28707577;SRR28707579;SRR28707581;SRR28708071;SRR28708074;SRR28708076	SRR28707316;SRR28707318;SRR28707558;SRR28707560;SRR28707563;SRR28707565;SRR28707567;SRR28707569;SRR28707571;SRR28707574;SRR28707576;SRR28707578;SRR28707580;SRR28708070;SRR28708073;SRR28708075
43	SRR28707297;SRR28707299;SRR28707301;SRR28707304;SRR28707306;SRR28707308;SRR28707310;SRR28707312;SRR28707315;SRR28707910;SRR28707912;SRR28707914;SRR28707916;SRR28707918;SRR28707921;SRR28707923	SRR28707296;SRR28707298;SRR28707300;SRR28707303;SRR28707305;SRR28707307;SRR28707309;SRR28707311;SRR28707314;SRR28707909;SRR28707911;SRR28707913;SRR28707915;SRR28707917;SRR28707920;SRR28707922
44	SRR28707293;SRR28707901;SRR28707903;SRR28707905;SRR28707907;SRR28708046;SRR28708048;SRR28708050;SRR28708052;SRR28708054;SRR28708058;SRR28708060;SRR28708062;SRR28708064;SRR28708066;SRR28708069	SRR28707292;SRR28707295;SRR28707900;SRR28707902;SRR28707904;SRR28707906;SRR28708047;SRR28708049;SRR28708051;SRR28708053;SRR28708057;SRR28708059;SRR28708061;SRR28708063;SRR28708065;SRR28708068
