sample_id	mRNA_srrs	sgRNA_srrs
KD8_seq1_p2_21	SRR19425814;SRR19425815;SRR19425816;SRR19425817	SRR19425805;SRR19425806;SRR19425807;SRR19425808
KD8_seq1_p2_22	SRR19426339;SRR19426340;SRR19426341;SRR19426343	SRR19426330;SRR19426332;SRR19426333;SRR19426334
KD8_seq1_p2_23	SRR19426322;SRR19426323;SRR19426324;SRR19426325	SRR19426313;SRR19426314;SRR19426315;SRR19426316
KD8_seq1_p2_24	SRR19426304;SRR19426305;SRR19426306;SRR19426307	SRR19426299;SRR19426418;SRR19426419;SRR19426420
KD8_seq1_p2_25	SRR19426408;SRR19426411;SRR19426412;SRR19426413	SRR19426400;SRR19426401;SRR19426402;SRR19426403
KD8_seq1_p2_26	SRR19425797;SRR19425798;SRR19425799;SRR19425800	SRR19425788;SRR19425789;SRR19425790;SRR19425791
KD8_seq1_p2_27	SRR19425779;SRR19425780;SRR19425781;SRR19425783	SRR19426289;SRR19426291;SRR19426292;SRR19426293
KD8_seq1_p2_28	SRR19426281;SRR19426282;SRR19426283;SRR19426284	SRR19425777;SRR19425778;SRR19426274;SRR19426275
KD8_seq1_p2_29	SRR19425768;SRR19425769;SRR19425770;SRR19425771	SRR19425759;SRR19425760;SRR19425761;SRR19425763
KD8_seq1_p2_30	SRR19425924;SRR19425926;SRR19425927;SRR19425928	SRR19425916;SRR19425917;SRR19425918;SRR19425919
KD8_seq1_p2_31	SRR19425907;SRR19425908;SRR19425909;SRR19425910	SRR19426089;SRR19426090;SRR19426091;SRR19426092
KD8_seq1_p2_32	SRR19426080;SRR19426081;SRR19426082;SRR19426084	SRR19425903;SRR19426073;SRR19426074;SRR19426075
KD8_seq1_p2_33	SRR19425895;SRR19425896;SRR19425897;SRR19425898	SRR19425887;SRR19425888;SRR19425889;SRR19426631
KD8_seq1_p2_34	SRR19425751;SRR19425752;SRR19425753;SRR19425754	SRR19425742;SRR19425743;SRR19425744;SRR19425746
KD8_seq1_p2_35	SRR19425733;SRR19425735;SRR19425736;SRR19425737	SRR19426620;SRR19426621;SRR19426622;SRR19426623
KD8_seq1_p2_36	SRR19426611;SRR19426612;SRR19426613;SRR19426614	SRR19426602;SRR19426603;SRR19426604;SRR19426605
KD8_seq1_p2_37	SRR19425722;SRR19425723;SRR19425724;SRR19425726	SRR19425712;SRR19425715;SRR19425716;SRR19425717
KD8_seq1_p2_38	SRR19425707;SRR19426070;SRR19426071;SRR19426072	SRR19426061;SRR19426062;SRR19426063;SRR19426064
KD8_seq1_p2_39	SRR19426052;SRR19426053;SRR19426054;SRR19426055	SRR19425701;SRR19425702;SRR19425703;SRR19425705
KD8_seq1_p2_40	SRR19425692;SRR19425694;SRR19425695;SRR19425696	SRR19425684;SRR19425685;SRR19425686;SRR19425687
KD8_seq1_p2_41	SRR19426041;SRR19426042;SRR19426043;SRR19426044	SRR19426032;SRR19426033;SRR19426034;SRR19426035
KD8_seq1_p2_42	SRR19426025;SRR19426027;SRR19426600;SRR19426601	SRR19426591;SRR19426593;SRR19426594;SRR19426595
KD8_seq1_p2_43	SRR19426583;SRR19426584;SRR19426585;SRR19426586	SRR19426021;SRR19426022;SRR19426023;SRR19426024
KD8_seq1_p2_44	SRR19426011;SRR19426012;SRR19426013;SRR19426014	SRR19426002;SRR19426003;SRR19426004;SRR19426006
KD8_seq1_p2_45	SRR19426266;SRR19426268;SRR19426269;SRR19426270	SRR19426258;SRR19426259;SRR19426260;SRR19426261
KD8_seq1_p2_46	SRR19426249;SRR19426250;SRR19426251;SRR19426252	SRR19426240;SRR19426241;SRR19426242;SRR19426243
KD8_seq1_p2_47	SRR19426231;SRR19426232;SRR19426233;SRR19426235	SRR19426174;SRR19426176;SRR19426177;SRR19426226
KD8_seq1_p2_48	SRR19426166;SRR19426167;SRR19426168;SRR19426169	SRR19426157;SRR19426158;SRR19426159;SRR19426160
KD8_seq1_p2_49	SRR19426572;SRR19426573;SRR19426574;SRR19426575	SRR19426563;SRR19426564;SRR19426565;SRR19426567
KD8_seq1_p2_50	SRR19426225;SRR19426556;SRR19426557;SRR19426558	SRR19426217;SRR19426218;SRR19426219;SRR19426220
KD8_seq1_p2_51	SRR19426208;SRR19426209;SRR19426210;SRR19426211	SRR19425998;SRR19425999;SRR19426000;SRR19426202
KD8_seq1_p2_52	SRR19425989;SRR19425990;SRR19425991;SRR19425993	SRR19425980;SRR19425982;SRR19425983;SRR19425984
KD8_seq1_p2_53	SRR19426549;SRR19426550;SRR19426551;SRR19426552	SRR19426540;SRR19426541;SRR19426542;SRR19426543
KD8_seq1_p2_54	SRR19426531;SRR19426532;SRR19426533;SRR19426534	SRR19426194;SRR19426195;SRR19426196;SRR19426198
KD8_seq1_p2_55	SRR19426185;SRR19426187;SRR19426188;SRR19426189	SRR19426178;SRR19426179;SRR19426180;SRR19426529
KD8_seq1_p2_56	SRR19426520;SRR19426521;SRR19426522;SRR19426523	SRR19411733;SRR19411940;SRR19412441;SRR19412480
KD8_seq1_p2_57	SRR19411749;SRR19411760;SRR19411939;SRR19412534	SRR19411732;SRR19411744;SRR19412118;SRR19412129
KD8_seq1_p2_58	SRR19411703;SRR19411714;SRR19412088;SRR19412376	SRR19411697;SRR19412071;SRR19412420;SRR19412431
KD8_seq1_p2_59	SRR19412045;SRR19412056;SRR19412316;SRR19412327	SRR19411929;SRR19412015;SRR19412026;SRR19412653
KD8_seq1_p2_60	SRR19411912;SRR19411999;SRR19412010;SRR19412636	SRR19411971;SRR19411982;SRR19412608;SRR19412619
KD8_seq1_p2_61	SRR19411954;SRR19411965;SRR19412591;SRR19412602	SRR19411838;SRR19412195;SRR19412563;SRR19412574
KD8_seq1_p2_62	SRR19412160;SRR19412171;SRR19412533;SRR19412545	SRR19411770;SRR19411779;SRR19411790;SRR19412417
KD8_seq1_p2_63	SRR19411762;SRR19411763;SRR19411764;SRR19411765	SRR19411753;SRR19411754;SRR19411755;SRR19411756
KD8_seq1_p2_64	SRR19411747;SRR19412404;SRR19412405;SRR19412406	SRR19412395;SRR19412396;SRR19412397;SRR19412399
KD8_seq1_p2_65	SRR19412386;SRR19412388;SRR19412389;SRR19412390	SRR19412528;SRR19412529;SRR19412530;SRR19412531
KD8_seq1_p2_66	SRR19412519;SRR19412520;SRR19412521;SRR19412522	SRR19412510;SRR19412511;SRR19412512;SRR19412513
KD8_seq1_p2_67	SRR19412126;SRR19412127;SRR19412128;SRR19412130	SRR19412117;SRR19412119;SRR19412120;SRR19412121
KD8_seq1_p2_68	SRR19411746;SRR19412110;SRR19412111;SRR19412112	SRR19411737;SRR19411738;SRR19411739;SRR19411740
KD8_seq1_p2_69	SRR19411727;SRR19411728;SRR19411729;SRR19411730	SRR19412504;SRR19412505;SRR19412506;SRR19412508
KD8_seq1_p2_70	SRR19412495;SRR19412497;SRR19412498;SRR19412499	SRR19412487;SRR19412488;SRR19412489;SRR19412490
KD8_seq1_p2_71	SRR19412103;SRR19412104;SRR19412105;SRR19412106	SRR19412094;SRR19412095;SRR19412096;SRR19412097
