sample_id	mRNA_srrs	sgRNA_srrs
RD7_seq1_RPE1_35_3	SRR19496901;SRR19496903;SRR19497212;SRR19497217	SRR19496905;SRR19496914;SRR19496915;SRR19497198
RD7_seq1_RPE1_35_4	SRR19497208;SRR19497213;SRR19497215;SRR19497219	SRR19496906;SRR19496910;SRR19497199;SRR19497461
RD7_seq1_RPE1_36_1	SRR19496894;SRR19496897;SRR19497456;SRR19497465	SRR19497453;SRR19497459;SRR19497633;SRR19497642
RD7_seq1_RPE1_36_2	SRR19496895;SRR19497463;SRR19497466;SRR19497470	SRR19497448;SRR19497449;SRR19497640;SRR19497643
RD7_seq1_RPE1_36_3	SRR19496896;SRR19496898;SRR19497460;SRR19497467	SRR19497450;SRR19497452;SRR19497635;SRR19497644
RD7_seq1_RPE1_36_4	SRR19496899;SRR19496900;SRR19497457;SRR19497464	SRR19497447;SRR19497451;SRR19497455;SRR19497634
RD7_seq1_RPE1_37_1	SRR19497190;SRR19497625;SRR19497630;SRR19497636	SRR19497194;SRR19497195;SRR19497618;SRR19497621
RD7_seq1_RPE1_37_2	SRR19497193;SRR19497624;SRR19497627;SRR19497638	SRR19497185;SRR19497188;SRR19497619;SRR19497623
RD7_seq1_RPE1_37_3	SRR19497192;SRR19497626;SRR19497628;SRR19497639	SRR19497183;SRR19497187;SRR19497196;SRR19497616
RD7_seq1_RPE1_37_4	SRR19497189;SRR19497629;SRR19497632;SRR19497637	SRR19497184;SRR19497614;SRR19497615;SRR19497622
RD7_seq1_RPE1_38_1	SRR19497174;SRR19497180;SRR19497612;SRR19497617	SRR19497602;SRR19497604;SRR19497605;SRR19497611
RD7_seq1_RPE1_38_2	SRR19497176;SRR19497178;SRR19497179;SRR19497444	SRR19497423;SRR19497603;SRR19497607;SRR19497609
RD7_seq1_RPE1_38_3	SRR19497177;SRR19497182;SRR19497443;SRR19497445	SRR19497173;SRR19497597;SRR19497601;SRR19497606
RD7_seq1_RPE1_38_4	SRR19497181;SRR19497191;SRR19497613;SRR19497620	SRR19497446;SRR19497598;SRR19497600;SRR19497608
RD7_seq1_RPE1_39_1	SRR19497429;SRR19497430;SRR19497433;SRR19497438	SRR19497150;SRR19497158;SRR19497163;SRR19497170
RD7_seq1_RPE1_39_2	SRR19497171;SRR19497425;SRR19497428;SRR19497431	SRR19497161;SRR19497167;SRR19497424;SRR19497437
RD7_seq1_RPE1_39_3	SRR19497172;SRR19497434;SRR19497435;SRR19497441	SRR19497159;SRR19497162;SRR19497166;SRR19497596
RD7_seq1_RPE1_39_4	SRR19497432;SRR19497436;SRR19497440;SRR19497442	SRR19497160;SRR19497164;SRR19497168;SRR19497595
RD7_seq1_RPE1_40_1	SRR19497151;SRR19497575;SRR19497589;SRR19497594	SRR19497131;SRR19497583;SRR19497584;SRR19497587
RD7_seq1_RPE1_40_2	SRR19497169;SRR19497577;SRR19497590;SRR19497593	SRR19497133;SRR19497581;SRR19497582;SRR19497585
RD7_seq1_RPE1_40_3	SRR19497155;SRR19497157;SRR19497576;SRR19497592	SRR19497132;SRR19497134;SRR19497574;SRR19497578
RD7_seq1_RPE1_40_4	SRR19497152;SRR19497153;SRR19497156;SRR19497588	SRR19497130;SRR19497135;SRR19497573;SRR19497586
RD7_seq1_RPE1_41_1	SRR19496875;SRR19497136;SRR19497143;SRR19497147	SRR19496883;SRR19496885;SRR19496889;SRR19497126
RD7_seq1_RPE1_41_2	SRR19496877;SRR19497141;SRR19497149;SRR19497580	SRR19496882;SRR19496890;SRR19497128;SRR19497146
RD7_seq1_RPE1_41_3	SRR19496876;SRR19497139;SRR19497142;SRR19497145	SRR19496879;SRR19496887;SRR19496891;SRR19497127
RD7_seq1_RPE1_41_4	SRR19496881;SRR19497138;SRR19497140;SRR19497144	SRR19496884;SRR19496886;SRR19496888;SRR19497129
RD7_seq1_RPE1_42_1	SRR19496874;SRR19497566;SRR19497568;SRR19497570	SRR19497416;SRR19497549;SRR19497554;SRR19497562
RD7_seq1_RPE1_42_2	SRR19496871;SRR19496873;SRR19496878;SRR19497553	SRR19497417;SRR19497418;SRR19497551;SRR19497563
RD7_seq1_RPE1_42_3	SRR19496872;SRR19496892;SRR19497567;SRR19497569	SRR19497422;SRR19497550;SRR19497556;SRR19497559
RD7_seq1_RPE1_42_4	SRR19496870;SRR19497552;SRR19497565;SRR19497571	SRR19497555;SRR19497557;SRR19497558;SRR19497564
RD7_seq1_RPE1_43_1	SRR19497402;SRR19497403;SRR19497404;SRR19497409	SRR19497113;SRR19497118;SRR19497122;SRR19497420
RD7_seq1_RPE1_43_2	SRR19497106;SRR19497406;SRR19497411;SRR19497413	SRR19497114;SRR19497119;SRR19497121;SRR19497124
RD7_seq1_RPE1_43_3	SRR19497105;SRR19497407;SRR19497410;SRR19497414	SRR19497115;SRR19497123;SRR19497125;SRR19497421
RD7_seq1_RPE1_43_4	SRR19497401;SRR19497405;SRR19497412;SRR19497415	SRR19497112;SRR19497116;SRR19497120;SRR19497400
RD7_seq1_RPE1_44_1	SRR19496862;SRR19496865;SRR19496868;SRR19497111	SRR19496848;SRR19496851;SRR19496852;SRR19496855
RD7_seq1_RPE1_44_2	SRR19496849;SRR19496867;SRR19497104;SRR19497109	SRR19496847;SRR19496854;SRR19496857;SRR19497379
RD7_seq1_RPE1_44_3	SRR19497102;SRR19497103;SRR19497108;SRR19497110	SRR19496853;SRR19496856;SRR19496860;SRR19497398
RD7_seq1_RPE1_44_4	SRR19496864;SRR19496866;SRR19496869;SRR19497107	SRR19496846;SRR19496861;SRR19497378;SRR19497397
RD7_seq1_RPE1_45_1	SRR19496829;SRR19496858;SRR19497384;SRR19497385	SRR19496836;SRR19496845;SRR19497375;SRR19497377
RD7_seq1_RPE1_45_2	SRR19496859;SRR19497383;SRR19497392;SRR19497396	SRR19496835;SRR19497376;SRR19497387;SRR19497389
RD7_seq1_RPE1_45_3	SRR19496827;SRR19497382;SRR19497386;SRR19497395	SRR19496837;SRR19496839;SRR19496844;SRR19497388
RD7_seq1_RPE1_45_4	SRR19496830;SRR19497390;SRR19497391;SRR19497394	SRR19496826;SRR19496838;SRR19496840;SRR19496843
RD7_seq1_RPE1_46_1	SRR19496823;SRR19496825;SRR19496828;SRR19497374	SRR19497360;SRR19497361;SRR19497529;SRR19497530
RD7_seq1_RPE1_46_2	SRR19496822;SRR19496834;SRR19497354;SRR19497368	SRR19497351;SRR19497358;SRR19497362;SRR19497545
RD7_seq1_RPE1_46_3	SRR19496832;SRR19497369;SRR19497371;SRR19497372	SRR19497353;SRR19497357;SRR19497366;SRR19497547
RD7_seq1_RPE1_46_4	SRR19496824;SRR19496831;SRR19497355;SRR19497370	SRR19497356;SRR19497367;SRR19497528;SRR19497548
RD7_seq1_RPE1_47_1	SRR19497363;SRR19497531;SRR19497541;SRR19497542	SRR19497331;SRR19497336;SRR19497337;SRR19497338
RD7_seq1_RPE1_47_2	SRR19497365;SRR19497534;SRR19497537;SRR19497544	SRR19497341;SRR19497347;SRR19497350;SRR19497352
RD7_seq1_RPE1_47_3	SRR19497364;SRR19497535;SRR19497539;SRR19497543	SRR19497330;SRR19497340;SRR19497346;SRR19497349
RD7_seq1_RPE1_47_4	SRR19497532;SRR19497533;SRR19497536;SRR19497540	SRR19497342;SRR19497348;SRR19497525;SRR19497526
RD7_seq1_RPE1_48_1	SRR19497333;SRR19497345;SRR19497522;SRR19497524	SRR19497343;SRR19497504;SRR19497510;SRR19497513
RD7_seq1_RPE1_48_2	SRR19497332;SRR19497335;SRR19497507;SRR19497523	SRR19497247;SRR19497306;SRR19497514;SRR19497519
